"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Hari G";"AIADMK";" 4";"Post Graduate";"53";"32966706";"0";"Yes";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Arun, N.";"IND";"0";"Doctorate";"56";"10435836";"2093000";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Dass, D.";"BSP";"0";"10th Pass";"43";"50000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Elango, D.";"IND";"0";"8th Pass";"49";"400000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Elango, N.";"IND";"0";"8th Pass";"40";"260000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Elango, N.";"DMK";"0";"Graduate Professional";"47";"43068404";"1304056";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Elangovan, A.";"IND";"0";"8th Pass";"33";"400000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Elangovan, D.";"IND";"0";"10th Pass";"28";"747800";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Gajendran, S.";"IND";"0";"12th Pass";"36";"152000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Gopinathan, G.";"IND";"0";"Graduate";"55";"25686000";"3020900";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Hari, S.";"IND";"0";"10th Pass";"39";"233800";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Hari, S.";"IND";"0";"10th Pass";"25";"422300";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Harikrishnan, P.";"IND";"0";"Not Given";"28";"100000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Panchu.udayakuma";"IND";"0";"Post Graduate";"35";"710000";"150000";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Rajesh, R";"INC";"0";"Post Graduate";"34";"196025973";"3000000";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Rajesh, S.";"AAP";"0";"Graduate Professional";"28";"7716";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Ravi, N.d.";"IND";"0";"Illiterate";"50";"55000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Ravi, V.";"IND";"0";"12th Pass";"48";"281800";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Sadhu Muthu Kristnan Erajandran, T.m.s.";"IND";"0";"Doctorate";"53";"0";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Shettu, S.";"IND";"0";"Post Graduate";"70";"100000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Sridhar, R.s";"IND";"0";"Graduate";"53";"2006000";"100000";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Vadivel, A.";"IND";"0";"10th Pass";"33";"157800";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Velu, D.";"IND";"0";"8th Pass";"53";"1000000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Velu, R.";"PMK";" 1";"Doctorate";"73";"22414897";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Velu, R.";"IND";"0";"10th Pass";"30";"251116";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Velu, V.";"IND";"0";"12th Pass";"47";"797612";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Viswanathan, P.";"IND";"0";"8th Pass";"42";"347702";"0";"No";"ARAKKONAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
